objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Stoner Parking Lot","262981","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","59121183","0","7.28889","0","0","101","thing","Stoner Parking Lot","3","7","20","20","10","2018","3,4,5,6,7","3,4,5,6,7","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Stonespine Architects","387514","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","106265010","6.4857","7.43724","2.1212","1311","4402","thing","Stonespine Architects","1","5","60","60","45","2024","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stonks","364277","0","2","0","0","0","0","0","1","0","0","0","1","","","","","","111291046","5.61459","6.79539","1.9167","8418","448","thing","Stonks","2","5","45","45","20","2023","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stool Pigeon","238935","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113713933","5.62093","7.05334","1.6667","8175","546","thing","Stool Pigeon","2","6","20","20","10","2017","2,3,4","4","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Stop Thief!","215312","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","93731231","6.1463","6.95426","1.4783","2382","4083","thing","Stop Thief!","1","5","60","60","30","2017","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Strands","364343","6","2","0","0","0","0","0","1","0","0","0","3","","","","","","97363597","5.55946","6.39394","2","11862","24","thing","Strands","2","2","30","30","15","2022","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Strange World Above the Clouds","425560","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","136637414","5.71972","7.35511","1.7692","5734","954","thing","Strange World Above the Clouds","1","4","20","20","10","2024","1,2,3,4","3","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Strasbourg","91873","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","88299745","6.42483","7.16262","2.7371","1477","2933","thing","Strasbourg","3","5","60","60","60","2011","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stratego","1917","5","1","3","1","0","0","0","0","0","0","0","3","#large","Abstract Strategy","","","","53699953","6.00786","6.15493","1.8453","3047","31779","thing","Stratego","2","2","45","45","45","1946","2","2","8+","No necessary in-game text","","","","","","standalone","032244047145","7","USD","18","USD","","Parents","1","Half cost","","","","","",""
"Stratego Card Game","130841","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","77349104","5.50852","5.71837","1.3333","22268","577","thing","Stratego Card Game","2","2","20","20","20","2012","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stratego Quickplay","229224","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112286596","0","5.41818","0","0","34","thing","Stratego Quickplay","2","2","20","20","20","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Strato","409744","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122051893","5.51283","6.46326","2","20897","176","thing","Strato","1","4","15","15","15","2024","1,2","1","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Strawberry Sunset","315021","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","100413638","5.5423","6.03708","1.5556","13869","730","thing","Strawberry Sunset","2","4","20","20","10","2020","1,2","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Streetcar","1597","0","1","0","0","0","0","0","1","0","0","0","1","","","","","","130713073","5.90489","6.45698","2.0621","3721","2636","thing","Streetcar","2","5","60","60","60","1995","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Streets","279720","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","122892575","5.98604","6.59618","1.9818","3173","4636","thing","Streets","1","5","60","60","30","2021","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Streets and Alleys","240995","0","0","0","0","0","0","0","1","0","1","0","3","","","","","","122460137","0","5.5","0","0","5","thing","Streets and Alleys","1","1","15","15","15","0","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Strike","123570","7.2","5","0","1","0","0","0","0","0","1","0","3","","Dice","","","","100690053","6.49058","6.97481","1.0256","1302","7628","thing","Strike","2","5","15","15","15","2012","2,3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","10.8","","","","2025-10-11","Black & Read","1","","","2025-10-11","","","",""
"String Railway","76674","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112214662","5.88038","6.30399","1.434","3898","2991","thing","String Railway","2","5","30","30","30","2009","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The String Railway Collection","391720","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132977111","5.57154","6.73715","1.5","0","560","thing","The String Railway Collection","2","5","45","45","20","2025","","","6","","","","","","","standalone","","","","","","","","","","","","","","",""
"String Railway: Transport","100473","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112261601","5.57506","6.78321","1.8333","10574","210","thing","String Railway: Transport","2","5","60","60","60","2011","2,3,4,5","3,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stringamajig","305056","4.5","1","1","1","0","0","0","0","0","0","0","3","#medium","","","","","113082855","5.49141","5.2561","1","26454","167","thing","Stringamajig","4","10","20","20","20","2020","","","","","","","","","","standalone","850680002234","","","","","2023-11-14","BGG","1","","","2023-11-14","","","",""
"Struggle for Catan","91534","7","1","3","1","0","0","0","0","0","0","0","3","#small","","","","","53700249","5.84434","6.15009","1.6626","4227","9066","thing","Struggle for Catan","2","4","30","30","30","2011","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","029877031429","12.19","USD","","","2018-04-11","Amazon","1","","","2018-04-14","","","",""
"The Stuff of Legend","256704","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","105332186","5.58502","7.00829","3","9945","843","thing","The Stuff of Legend","3","6","120","120","60","2023","4,5,6","5","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Stupor Mundi","392492","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","121095831","6.09021","7.53009","3.2698","2639","1242","thing","Stupor Mundi","1","4","150","150","90","2025","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sub Terra","204472","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","66870734","6.77065","7.36319","2.1407","782","9673","thing","Sub Terra","1","6","60","60","60","2017","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Subastral","333055","7.5","3","2","1","0","0","0","0","1","0","0","3","#medium","","","","","88446475","6.04332","7.14128","1.641","2864","2237","thing","Subastral","2","5","30","30","15","2021","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","810011721968","15","USD","","","2024-03-08","","1","Sold for 10 and originally bought 5 in April 2022 on FBM","","2024-03-12","","","",""
"Suburbia","123260","6.8","3","3","0","0","0","0","0","1","0","0","4","","","","","","53698376","7.28575","7.46168","2.7567","239","30929","thing","Suburbia","1","4","90","90","60","2012","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","David Wills","1","Previously 25 Facebook August 2018","","","","","",""
"Suburbia: Collector's Edition","267367","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","60539977","6.97502","7.98795","2.8571","0","8299","thing","Suburbia: Collector's Edition","1","5","90","90","90","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sumatra","313000","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","76854306","5.64531","6.63573","1.9091","7378","704","thing","Sumatra","2","5","45","45","45","2020","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Summer","259409","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","100359840","0","5.375","0","0","12","thing","Summer","1","1","10","10","5","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Summer Camp","337787","6","1","0","0","0","0","0","0","1","0","0","1","","","","","","83217195","6.3068","7.1177","1.803","1800","6383","thing","Summer Camp","2","4","45","45","30","2021","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","7.45","USD","","","2022-07-12","Target","1","Bought first June 2021 for 19.22","Returned","2022-07-12","","","",""
"Summoner Wars","58281","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","60530678","6.74704","7.21801","2.3344","816","6211","thing","Summoner Wars","2","4","60","60","30","2009","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Suna Valo","419384","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132453412","5.81411","7.85173","2.8","4498","1005","thing","Suna Valo","1","2","90","90","45","2024","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sundae Split","233974","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","57760316","5.74915","6.64857","1.2308","5294","1149","thing","Sundae Split","2","5","20","20","20","2017","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sunflower Valley","228390","0","0","0","0","0","0","0","1","0","1","0","3","","","","","","80917016","5.66426","6.53361","1.7333","6902","1070","thing","Sunflower Valley","2","5","60","60","45","2017","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sunflower Valley: A Tile-Laying Game","284003","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","93357157","5.52448","6.67177","1.3333","17489","168","thing","Sunflower Valley: A Tile-Laying Game","2","6","30","30","30","2019","2,3,4,5,6","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sunny Day Sardines","335872","6","5","2","1","1","0","0","0","0","0","0","4","#small","","","","","99074774","5.56982","6.5585","1.6","10978","549","thing","Sunny Day Sardines","2","4","15","15","15","2022","2,3","2","5+","","","","","","","standalone","860006586805","6.5","USD","","","2022-12-26","Barnes & Noble","1","","","2022-12-26","","","",""
"Sunny Day Sardines: Wild Fish","356765","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103578135","0","7.375","0","0","139","thing","Sunny Day Sardines: Wild Fish","2","4","15","15","15","2022","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Sunrise at the Studio","389345","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","125458663","5.57926","7.20884","1.875","10284","502","thing","Sunrise at the Studio","1","4","20","20","20","2024","1,2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sunrise City","97357","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","112040957","5.84888","6.57798","2.3421","4188","1644","thing","Sunrise City","2","4","60","60","60","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sunrise Lane","394334","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","110666495","6.04025","7.03118","1.5","2877","2432","thing","Sunrise Lane","2","4","45","45","45","2023","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","8056324761785","10","USD","","","2025-03-08","DTW","1","","","2025-03-08","","","",""
"Sunrise Lane: Double Park Promo Card","402425","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112654306","0","6.36364","0","0","283","thing","Sunrise Lane: Double Park Promo Card","2","4","45","45","45","2023","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Sunrise Sunset","411545","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","123826184","5.58872","7.03778","1.8333","9701","384","thing","Sunrise Sunset","2","2","30","30","10","2024","2","2","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sunset Over Water","224904","6.7","2","0","1","0","0","0","0","0","0","0","3","#medium","","","","","92920279","6.12678","6.94259","1.6863","2478","3993","thing","Sunset Over Water","1","4","20","20","20","2018","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","752830255937","","","","","2023-12-07","Elfster","1","","","","","","",""
"Sunshine City","362121","0","0","0","0","0","0","0","1","0","1","1","3","","","","","","93972029","5.59794","7.10049","2.1429","9204","580","thing","Sunshine City","1","100","60","60","30","2022","1,2,3,4","1,2,3","12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Fantasy Brawl","194517","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","80031199","6.54113","7.55727","2.2824","1191","4849","thing","Super Fantasy Brawl","2","4","40","40","30","2022","2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Kawaii Pets","346951","5.5","1","0","0","0","0","0","1","0","0","0","2","","","","","","120983177","5.65881","6.75924","1.3333","7032","964","thing","Super Kawaii Pets","1","4","20","20","10","2022","1,2,3,4","3,4","6–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Mega Lucky Box","341530","6.5","25","2","1","0","0","0","0","0","0","0","1","#small","Flip and Write","","","","83501204","6.47121","6.9956","1.266","1354","6401","thing","Super Mega Lucky Box","1","6","20","20","20","2021","2,3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","759751001216","","","","","2021-12-14","Shnelle Stewart","1","","","2021-12-14","","","",""
"Super Meow","402475","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","128522523","5.54599","6.46724","1","13368","297","thing","Super Meow","2","4","15","15","15","2023","","","6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Motherload","162286","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","59194608","6.66836","7.3261","2.2707","944","5400","thing","Super Motherload","2","4","60","60","60","2015","2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Slopes","378423","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","112298382","5.56152","6.74231","1.75","11680","683","thing","Super Slopes","1","3","15","15","10","2023","1","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Trains","396563","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","112625297","0","7.83333","0","0","40","thing","Super Trains","2","5","45","45","45","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Super Truffle Pigs","340949","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","85293746","5.52531","6.83077","1.6667","17257","193","thing","Super Truffle Pigs","2","4","30","30","20","2022","2,3","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Super-Skill Pinball: 4-Cade","302524","5.8","2","0","0","0","0","0","0","1","1","1","1","#write","","","","","93453344","6.40981","7.04566","2.1833","1520","7118","thing","Super-Skill Pinball: 4-Cade","1","4","30","30","30","2020","1,2,3","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","2","USD","","","2022-06-18","BGG","1","Trade ratio cost estimate","","2022-06-18","","","",""
"Super-Skill Pinball: Ramp it Up!","328826","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","93453346","5.84257","7.22977","2.1875","4240","2040","thing","Super-Skill Pinball: Ramp it Up!","1","4","20","20","20","2021","1,2,3,4","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Superfight","139443","6.75","3","1","1","0","0","0","0","0","0","0","3","#medium","Party","","","","53700195","5.60843","5.82244","1.1692","8702","8595","thing","Superfight","3","20","15","15","15","2013","3,4,5,6,7,8,12,13,14,15","4,5,6","12+","Unplayable in another language","","","","","","standalone","726670133625","30","USD","","","","Target","1","Assumed Price","","","","","",""
"Superfight: The Challenge Deck","182200","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","55043442","5.5477","6.57045","1","0","715","thing","Superfight: The Challenge Deck","3","10","30","0","30","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Superstore 3000","427084","7","5","0","0","0","1","1","0","0","0","1","3","","","","","","128204836","5.63317","6.33741","2","7744","726","thing","Superstore 3000","2","4","45","45","30","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Surf's Up!","402635","5.8","1","0","0","0","0","0","0","0","0","0","3","","","","","","117442911","5.53499","6.84986","1.8","15081","151","thing","Surf's Up!","2","6","30","30","20","2024","3,4,5,6","4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Surfosaurus MAX","394887","6.5","1","0","0","0","1","1","0","0","0","1","4","","","","","","110773487","5.98954","6.97762","1.1765","3152","1765","thing","Surfosaurus MAX","2","6","20","20","20","2023","3,4,5,6","3","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Survival of the Fattest","363870","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","127257087","5.59104","7.25625","2.75","9556","503","thing","Survival of the Fattest","1","4","90","90","45","2024","2,3,4","3,4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Survival of the Fittest","419149","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","126013704","0","7.6","2","0","2","thing","Survival of the Fittest","2","4","45","45","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Survive The Island: BFF","430865","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","125699778","0","7.2","0","0","171","thing","Survive The Island: BFF","2","5","0","0","0","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Survive: Dolphins & Squids & 5-6 Players...Oh My!","177156","7","1","0","0","0","0","0","0","1","0","0","2","","Grid Movement","","","","53697920","6.21075","7.496","1.7","0","5646","thing","Survive: Dolphins & Squids & 5-6 Players...Oh My!","2","6","60","60","45","2015","3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","expansion","","14.91","USD","","","2018-10-13","Amazon","1","","","2018-10-15","","","",""
"Survive: Escape from Atlantis!","2653","7","1","3","0","0","0","0","0","1","0","0","3","#large","Grid Movement","","","","53697922","7.1173","7.31185","1.6932","366","40960","thing","Survive: Escape from Atlantis!","2","4","60","60","45","1982","3,4","4","8+","No necessary in-game text","","","","","","standalone","","30.18","USD","","","2018-04-22","Amazon","1","","","2018-04-24","","","",""
"Survive: Escape from Atlantis! – 5-6 Player Mini Expansion","96323","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","54982763","6.31595","7.40412","1.5645","0","6388","thing","Survive: Escape from Atlantis! – 5-6 Player Mini Expansion","2","6","45","45","45","2011","3,4,5,6","6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Survivor: The Tribe Has Spoken","435367","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","129978277","5.56134","6.98884","1.6667","11700","435","thing","Survivor: The Tribe Has Spoken","3","6","60","60","30","2025","4,5,6","6","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Boat","346255","0","0","0","0","0","0","0","1","0","0","1","2","","","","","","110035364","5.56487","6.46209","1.625","11389","513","thing","Sushi Boat","2","5","75","75","30","2023","2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Dice","142334","6","1","0","0","0","0","0","0","0","0","0","1","","","","","","102660698","5.6044","5.88326","1.0789","8886","1972","thing","Sushi Dice","2","6","20","20","20","2014","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Draft","144865","0","1","0","0","0","0","0","1","0","0","0","3","","","","","","79624483","5.50178","5.58129","1.4","24260","559","thing","Sushi Draft","3","5","15","15","15","2012","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go Party!","192291","9.1","33","2","1","0","0","0","0","0","0","0","3","#medium","Card Drafting","","Board","","53698119","7.22225","7.378","1.3166","277","72007","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","759751004194","20.84","USD","","","2018-07-11","Amazon","1","","Cards","2018-08-13","","","",""
"Sushi Go Party!: Inari Promo","317274","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","78646019","5.63152","7.68931","1.25","0","1278","thing","Sushi Go Party!: Inari Promo","2","8","20","20","20","2020","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Sushi Go Party!: Pickled Ginger Promo","317275","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","78646022","5.63006","7.57018","1.3333","0","1364","thing","Sushi Go Party!: Pickled Ginger Promo","2","8","20","20","20","2020","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Sushi Go Party!: Sake Promo","251250","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","54185153","5.70297","7.63541","1.2857","0","1911","thing","Sushi Go Party!: Sake Promo","2","8","20","20","20","2017","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Sushi Go Party!: Sukeroku Promo","250934","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","54185141","5.67079","7.53789","1.2","0","1730","thing","Sushi Go Party!: Sukeroku Promo","2","8","20","20","20","2017","4,5,6,7,8","8","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Sushi Go!","133473","8","26","2","1","0","0","0","0","0","0","0","3","#small","Card Drafting","","","","53698150","6.87593","6.98798","1.1636","642","94102","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","759751062491","4.79","USD","","","2019-04-21","King Soopers","1","3.20 discount, then bought 2nd charles box version $7 on 10/29/22.","Cards","2019-04-21","","","",""
"Sushi Go! 10th Anniversary Edition","424972","0","0","0","0","0","1","1","1","0","0","1","2","","","","","","122228875","5.67658","7.8799","1.3","0","1019","thing","Sushi Go! 10th Anniversary Edition","2","5","15","15","15","2024","3,4,5","3,4","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!: Soy Sauce Promo","165802","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","78646026","5.88344","6.90818","1.1667","0","3070","thing","Sushi Go!: Soy Sauce Promo","2","5","15","15","15","2014","2,3,4,5","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Sushi Go!: Spin Some for Dim Sum","392611","5.5","1","0","0","0","0","0","0","1","1","1","3","","","","","","112230711","5.6353","6.30527","1.2","7679","1736","thing","Sushi Go!: Spin Some for Dim Sum","2","6","20","20","20","2023","3,4,5","3","8","","","","","","","standalone","","13.68","USD","","","2023-11-08","Target","1","","","2023-11-08","","","",""
"Sushi Roll","271869","6.75","6","2","1","0","0","0","0","0","0","0","3","#large","Card Drafting","","","","58602782","6.47811","6.99535","1.2857","1333","9846","thing","Sushi Roll","2","5","20","20","20","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","759751004262","19.43","USD","","","2019-04-24","Amazon","1","","","2019-05-05","","","",""
"Sushi Sushi","437127","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","138069268","0","6.57143","0","0","14","thing","Sushi Sushi","2","5","20","20","20","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"SUTAKKU","101796","5","1","0","0","0","0","0","1","0","0","0","3","","","","","","66630974","5.58965","6.22921","1.04","9652","850","thing","SUTAKKU","1","12","15","15","15","2011","1,2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sweet & Spicy","355737","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113798149","5.65736","6.82279","1.3333","7062","972","thing","Sweet & Spicy","2","6","15","15","15","2022","2,3,4,5,6","4,5","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sweet Lands","425445","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125589034","5.86017","8.08684","4.0694","4070","1357","thing","Sweet Lands","1","4","200","200","100","2025","1,2,3","2","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sweet Mess","244268","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","110939977","5.48594","5.04391","3","27183","226","thing","Sweet Mess","2","4","90","90","45","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sweet Mess: Pastry Competition","376363","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","113395157","5.74204","7.02735","2.8095","5375","1427","thing","Sweet Mess: Pastry Competition","1","4","90","90","45","2024","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Switch & Signal","317311","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103479849","6.22918","7.10043","2.1","2062","3877","thing","Switch & Signal","2","4","45","45","45","2020","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Switchbacks","363614","4.5","1","0","0","0","0","0","0","1","0","0","2","","","","","","111843372","5.65866","6.44957","1.1667","7034","1385","thing","Switchbacks","2","4","15","15","15","2022","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","5","USD","","","2024-11-14","BGG","1","Bundle black read 55","","2024-11-14","","","",""
"Syllabus","391849","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132456729","0","6.67647","1","0","45","thing","Syllabus","2","4","15","15","15","2023","3","3","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Sylvion","143405","5","2","0","0","0","0","0","0","1","0","0","3","","","","","","99913793","6.38497","7.03372","2.0667","1578","8083","thing","Sylvion","1","2","30","30","30","2015","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","2023-03-09","BGG","1","","","2023-03-09","","","",""
"Symbiose","432451","8","6","0","0","0","1","1","1","0","0","1","1","","","","","","129311218","5.70075","6.68856","1.1765","6086","474","thing","Symbiose","2","4","20","20","10","2025","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sync or Swim","353196","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","90488171","5.69289","7.11116","1.625","6240","848","thing","Sync or Swim","3","6","45","45","30","2022","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"T-Rex's Holiday","289916","0","0","0","0","0","0","0","1","0","1","0","3","","","","","","100860094","5.56971","6.7782","2.2","10988","292","thing","T-Rex's Holiday","2","8","20","20","15","2019","2,3,4,5","4","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Table Golf Association","356954","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","105106464","5.58316","6.92905","1.5714","10056","605","thing","Table Golf Association","1","8","120","120","30","2022","1,2,3,4","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
